"ID","Type","Name","Documentation","Specialization"
"id-1610aaf31d1e490c873cc9c8ef4c1dab","CommunicationNetwork","reinaart","",""
"id-604b016e96cd46ce9cc1ad89bd0e9560","Device","ailurus","",""
"id-ec0efecc39ec4a7290e18ae8bb0f5102","Device","aquila: phone","",""
"id-2d70179cb18942b3b46efe1b7d6b2266","Device","Desktop PC","",""
"id-c5929f5ae9d74708b878d7bf26146276","Device","DVD Player","",""
"id-ffeb42d2781a471facdf727dfecb81e5","Device","external storage","",""
"id-6e51c2de99104ed49243dbc37606e1fc","Device","gulo: laptop","",""
"id-550688ceae8e4311b4f7a94e7435086b","Device","hyeana","",""
"id-723705be55654184956fa2308e97ba02","Device","lutra","",""
"id-2c3d1ba42ca1499ebfd2811081e56442","Device","milvago: phone","",""
"id-c703cfacfea5440b918d7d0788332fa3","Device","panthera","",""
"id-0c0228798c6d4d3ebe16d969c77b29af","Device","Printer","",""
"id-e7995c286c9d4c2c82b045b94d6d2ff5","Device","ROM USB","",""
"id-09606155d41843948dbd564cd6aead40","Device","security camera","",""
"id-ecb50207e1bd45ddaf6df93cd8e4b49c","Device","TV","",""
"id-cbb2e043fe10441bad2fa4ab667914bc","Node","Ad-hoc server","",""
"id-54a5b646020c4516bb900f20a8d07c93","Node","back-up server","",""
"id-b0f641f981ed4ac9b7b8fefa91f2feb7","Node","chromecast","",""
"id-088c16c90d7143ecb41edb5d01d31f6e","Node","entertainment system","",""
"id-1f4b03767704404dbfa891248092060d","Node","file server","",""
"id-896fb58d0ef94d47986b3ddb7d26031e","Node","gonatus: switch","",""
"id-e90895ed518745758a71f26d719535a4","Node","lutra: mini server","",""
"id-c3f45b2859f24f15822fde9cc406e2ea","Node","main server","",""
"id-7a402111d42c4c8e9a55df11783078e0","Node","martes: chromebook","",""
"id-0007ab60274f4d4194864f146097c2b8","Node","nest mini","",""
"id-9a8eafb3042c48809b0469e832faf41c","Node","Phillips WIZ connected bulb","",""
"id-ea11d862a08f454cae995076442f6978","Node","raspberry pi 4","",""
"id-b6a6cd81728e492a9d4a7b8cc1043c7b","Node","router (carcharadon)","port forward glances servers",""
"id-2f4db57a681444f684534ddfeb7f262f","Node","telenet: modem/router","",""
"id-4c9002beb1dd473990340dba7cee99e9","Node","Tuya smart switches","",""
"id-326cecf435ac4de884311b099fec7bf4","Path","ethernet (gonatus)","",""
"id-5a673e264b444b11b51d16720ca340a7","Path","ethernet (rhincodon)","",""
"id-208f95292f3a46aca2bff2a9b93d64b0","Path","ethernet (telenet)","",""
"id-f14fd629e571453bbdf8318742155cb0","Path","Wi-Fi (eeyore)","",""
"id-25d73db252e0434fbe05658150fa72ab","Path","Wi-Fi (rhincodon)","",""
"id-3c736089075f4eb3a31a673834ff9e7f","SystemSoftware","Debian","","Operating System"
"id-3ce165f7b93b4de18c6636806741279c","SystemSoftware","docker container","",""
"id-b6c377b0aa8c4f43af96720907402eb6","SystemSoftware","DVD Player","",""
"id-5189ec7a024c482898a4a0d5ed1ba716","SystemSoftware","raspbian","","Operating System"
"id-9651eea0f11c4e7b8bde14dd32ea4672","Goal","We have J.A.R.V.I.S.","",""
"id-0b008e01298846d992412e58b132e0b8","Goal","We have Stark Industries","",""
"id-d3bea7e1d5e542139df1ca3e9135ad70","Outcome","We are Iron Man","",""
"id-40706d89293c4f8d8176f5aef1f13896","Outcome","We can build Iron Man suit","",""
"id-312265c1886e4c5baae3deb57750ba15","WorkPackage","deploy zoo-archimate html as website under documentation moniker","",""
"id-bf4d5e085eab4f31a214cebad6437b17","WorkPackage","Energy Management & Automations","",""
"id-cb5386f340f7407d934c7bc07f65ae8e","Grouping","aslan: DMZ vlan","",""
"id-8e0214b9ed1442eeaeaaf64bc0fc315b","Grouping","eeyore","",""
"id-64ca2d1a9ebc41a0a8471b0d7dd6dc1a","Grouping","Malibu Point","",""
